emoji,english,clarity
🐇,rabbit,arubabu
🐿️,chipmunk,uguhubu
🦫,beaver,ebave
🦔,hedgehog,ehedo
🦇,bat,abada
🐻,bear,ebareba
🐨,koala,ogala
🐼,panda,abana
🦥,sloth,ozolo
🦦,otter,odedo
🦨,skunk,uzugunu
🦘,kangaroo,agano
🦡,badger,abe
🐾,evidence,evude
🦃,turkey,udero
🐔,chicken,ugehu
🐓,rooster,oroze
🐤,chicklet,ugehuge
🐦,bird,uburu
🐧,penguin,ebunu
🕊️,dove,odevo
🦅,eagle,egale
🦆,duck,udugu
🦢,swan,azawa
🦉,owl,owolowo
🦤,dodo,ododo
🪶,feather,eva
🦩,flamingo,avulo
🦚,peacock,ebago
🦜,parrot,abora
🪽,wing,uwunu
🪿,goose,ogoze
🐸,frog,ovoro
🐊,crocodile,ogoru
🐢,turtle,uderu
🦎,lizard,ula
🐍,snake,azena
🐉,dragon,adora
🦕,dinosaur,udona
🦖,trex,edereze
🐋,whale,awe
🐬,dolphin,odulo
🦭,seal,ezale
🐟,fish,uvuzuhu
🐠,clownfish,ogulo
🐡,blowfish,obulo
🦈,shark,azaha
🐙,octopus,ogodu
🐚,shell,ezehele
🪸,coral,ogaro
🪼,jellyfish,ejolu
🦀,crab,agara
🦞,lobster,olebo
🦐,shrimp,uzuhu
🦑,squid,uzugudu
🦪,oyster,ozode
🐌,snail,azu
🦋,butterfly,ubedo
🐛,caterpillar,agedu
🐜,ant,ana
🐝,bee,ebebe
🪲,beetle,ebede
🐞,ladybug,alo
🦗,insect,une
🪳,cockroach,ogoga
🕷️,spider,uzebu
🕸️,catch,agadaga
🦂,scorpion,ozugo
🦟,mosquito,omuzu
🪰,fly,ovolo
🪱,worm,oworomo
🦠,microbe,umo
💐,bouquet,obugu
🌸,cherryblossom,ego
🪷,lotus,olu
🌹,rose,ore
🌺,hibiscus,uhubu
🌻,sunflower,uzo
🌼,flower,ove
🌷,tulip,udulu
🌱,seedling,ezedu
🪴,plant,abala
🌳,tree,ederede
🌴,palmtree,ono
🌵,cactus,agu
🌾,grain,agura
🌿,herb,ehere
☘️,shamrock,azo
🍀,luck,ulugu
🍁,leaf,odorobo
🍃,fall,elave
🍄,mushroom,umozo
🍇,grape,agera
🍈,melon,emo
🍉,watermelon,awede
🍊,orange,orane
🍋,lemon,elome
🍌,banana,abanana
🍍,pineapple,ubena
🥭,mango,amona
🍎,apple,abeba
🍐,pear,ebarebare
🍑,peach,ebage
🍒,cherry,egohe
🍓,strawberry,azedo
🫐,blueberry,ubele
🥝,kiwi,uguwu
🍅,tomato,oda
🫒,olive,oluve
🥥,coconut,ogogu
🥑,avocado,avo
🍆,eggplant,egage
🥔,potato,obado
🥕,carrot,agora
🌽,corn,ogoro
🌶️,chili,uguhulu
🥒,cucumber,uguge
🥬,lettuce,elu
🥦,broccoli,oborugo
🧄,garlic,aguralu
🧅,onion,onu
🥜,peanut,ebanu
🫘,bean,ebane
🌰,chestnut,eguhe
🫚,ginger,ugenu
🫛,pea,ebabe
🍞,bread,ebareda
🥐,croissant,ogurazo
🥖,baguette,abuge
🫓,flatbread,ave
🥨,pretzel,eberede
🥯,bagel,abega
🥞,pancake,abane
🧇,waffle,aweva
🧀,cheese,egehe
🍗,meatleg,emade
🥩,meat,emadema
🥓,bacon,aboga
🍔,hamburger,ahume
🍟,fries,uveru
🍕,pizza,uba
🌭,hotdog,ohodo
🥪,sandwich,azuna
🌮,taco,adoga
🌯,burrito,uburo
🫔,tamale,adame
🥙,kebab,egabe
🧆,falafel,avale
🥚,egg,egege
🍳,pan,abanaba
🍲,food,ovodovo
🫕,fondue,ovune
🥣,bowl,obowo
🥗,salad,azala
🍿,popcorn,obobogo
🧈,butter,ubedude
🧂,salt,azalada
🥫,can,agana
🍱,bento,ebone
🍙,riceball,urega
🍚,rice,uregu
🍛,curry,ugoruro
🍜,noodles,onode
🍝,pasta,abaza
🍠,yam,omamo
🍢,oden,odeno
🍣,sushi,uzuzu
🥮,mooncake,omona
🍡,dango,adona
🥟,dumpling,udumu
🥡,takeout,adego
🍦,icecream,ugege
🍧,shavedice,azehu
🍩,doughnut,odugu
🍪,cookie,ogoguge
🍰,cake,agega
🧁,cupcake,ugabe
🥧,pie,ubebu
🍫,chocolate,ogoha
🍬,candy,agona
🍭,lollipop,olulo
🍮,custard,ugazu
🍯,honey,oheno
🥛,milk,umulu
☕,coffee,ogeve
🫖,tea,edade
🍵,matcha,amada
🍶,osake,oza
🍾,bottle,obedo
🍷,wine,uwenu
🍸,cocktail,ogagu
🍹,tropicaldrink,odura
🍺,beer,eberebe
🍻,beers,ebereze
🥂,clink,ugulunu
🥃,cup,ugubugu
🫗,pour,oburobu
🥤,strawcup,azuda
🧃,juice,uju
🧉,mate,ame
🧊,ice,ugegu
🥢,chopsticks,oguho
🍽️,meal,emale
🍴,forkknife,ovure
🥄,spoon,ozobo
🔪,knife,ugenuve
🫙,jar,aja
🏺,amphora,amoba
🌍,earth,erade
🌐,network,eno
🗺️,map,amaba
🧭,compass,ogamo
⛰️,mountain,omuna
🌋,volcano,ovalo
🗻,fuji,uvuju
🏕️,camp,agama
🏖️,beach,ebageha
🏜️,desert,edeze
🏝️,island,uza
🏞️,park,abara
🏟️,arena,are
🏛️,government,ogevero
🏗️,build,ubulu
🧱,brick,uburugu
🪨,stone,oze
🪵,wood,owodo
🛖,hut,uhudu
🏘️,houses,ohu
🏠,house,ohuze
🏡,home,ohemo
🏢,building,ubuludu
🏥,hospital,ohuza
🏦,bank,abanaga
🏨,hotel,ohedo
🏪,store,ozedo
🏫,school,ozogo
🏭,factory,avogo
🏯,shiro,uzohu
🏰,castle,ageza
🗼,tower,odewo
⛪,church,uguhuru
🕌,mosque,omuzego
🛕,mandir,amu
🕍,synagogue,ozano
⛩️,shrine,uzehu
⛲,fountain,ovuna
⛺,tent,edene
🌁,fog,ovogo
🌃,night,unugu
🏙️,city,ugodu
🌅,early,eralo
🌉,bridge,uberu
♨️,heat,ehade
🎠,carousel,agoru
🛝,slide,uzelude
💈,barberpole,abero
🎪,circus,ugurugu
🚂,locomotive,ologo
🚅,shinkansen,uzahe
🚆,train,adu
🚇,metro,emode
🚉,station,azudo
🚊,tram,adara
🚝,monorail,omonaru
🚌,bus,ubuzubu
🚐,minibus,umunu
🚑,ambulance,amuba
🚕,taxi,aduza
🚗,car,agaraga
🚙,SUV,uzuvu
🛻,pickup,ubugugu
🚚,truck,uduru
🚛,lorry,oloro
🚜,tractor,adorago
🏍️,motorcycle,omodo
🛵,moped,omebo
🦽,wheelchair,eweha
🛺,autorickshaw,aduro
🚲,bike,ubegube
🛴,scooter,ozoge
🛹,skateboard,azego
🛣️,way,awo
🛢️,oil,olulolu
⛽,fuel,uvelu
🛞,wheel,ewehe
🛑,stop,ozodo
🚧,barrier,abure
⚓,anchor,anogaho
⛵,sailboat,azulo
🛶,canoe,agone
🚤,speedboat,ezebo
⛴️,ferry,evo
🛥️,boat,obadoba
🚢,ship,uzuhubu
✈️,plane,abela
🛫,depart,edabe
🛬,arrive,arure
🪂,parachute,abaru
💺,seat,ezade
🚁,helicopter,ehu
🛰️,satellite,azedu
🚀,rocket,orego
🛸,ufo,uvovu
🛎️,receptionbell,ere
🧳,suitcase,uzuda
⌛,hourglass,ohura
⌚,watch,awada
⏰,time,udemu
⏲️,timer,udemure
🕛,noon,onono
🕑,clock,ogologo
🕒,occasion,ogaguzo
🌑,newmoon,enowo
🌙,moon,omono
🌡️,thermometer,edo
☀️,day,adoda
🌞,sun,uzunu
🪐,saturn,azudaru
⭐,star,azada
🌟,special,ezuba
🌌,space,azeba
☁️,cloud,ogulodu
⛈️,storm,ozodoro
🌧️,rain,aruna
🌪️,tornado,odaro
🌫️,haze,aheza
🌬️,wind,uwunudu
🌀,spiral,uzabu
🌈,rainbow,aruno
☂️,umbrella,umeba
☔,wetumbrella,ewude
⚡,voltage,ovale
❄️,snow,ozono
☃️,snowman,ozanowa
☄️,comet,ogemo
🔥,fire,uveruve
💧,water,aweda
🌊,wave,awevawe
🎃,Halloween,ahole
🎄,christmastree,ugahe
🎆,firework,uvero
🧨,firecracker,uvera
✨,new,ene
🎈,balloon,abolo
🎉,party,aborado
🎍,kadomatsu,agoda
🎀,bow,obowobo
🎁,gift,uguvu
🎗️,reminder,erume
🎫,ticket,udeguge
🎖️,military,umula
🏆,trophy,odoroboho
🥇,first,uvuru
🥈,second,ezoge
🥉,third,uduhuru
⚽,soccer,ozego
⚾,baseball,abeza
🥎,softball,ozavo
🏀,basketball,abezaga
🏐,volleyball,ovelo
🏈,football,ovoda
🎾,tennis,edune
🥏,frisbee,uverezu
🎳,bowling,obuwo
🏏,cricket,ugeru
🥍,lacrosse,aloge
🏸,badminton,abudo
🥊,boxing,obuzo
🥅,goal,ogalo
⛳,ground,oguro
⛸️,skate,azega
🎣,fishing,uvuzuhunu
🤿,dive,udevu
🛷,sled,ezelede
🥌,curlingstone,uguro
🎯,target,adera
🪀,yo-yo,ojojo
🪁,kite,ugedu
🔫,gun,ugunugu
🎱,billiards,ubula
🔮,future,uvude
🪄,magic,amuga
🎮,gamepad,agema
🕹️,joystick,ojozu
🎰,try,odorodo
🎲,die,udedu
🧩,piece,ubege
🧸,teddy,edode
♠️,spade,azebade
♟️,pawn,abawa
🎴,hanafuda,ahanu
🎭,masks,amaza
🖼️,image,uma
🎨,color,ogoloro
🧵,thread,edahe
🪡,needle,enede
🧶,yarn,orano
🪢,knot,ogono
👓,glasses,agela
🕶️,sunglasses,uzane
🥽,goggles,ogego
👔,tie,udedude
👕,shirt,uzuhuru
👖,jeans,eja
🧣,scarf,azaga
🧤,gloves,ogelo
🧥,coat,ogado
🧦,sock,ozogogo
👗,dress,ederezeze
👘,kimono,ugomo
🥻,sari,azura
🩱,swimsuit,uzuwumu
🩲,briefs,uberuve
🩳,shorts,ozoho
👙,bikini,ubugunu
👚,blouse,obule
🪭,fan,avana
👛,purse,uberuze
👜,handbag,ahanada
🛍️,bag,abaga
🎒,backpack,abagaga
🩴,sandal,azanada
👞,shoe,ozeho
👟,sneaker,ezane
🥾,boot,obodobo
👠,highheel,uhege
🩰,balletshoes,abelo
👑,crown,ogorowo
👒,ribbonhat,uroba
🎩,tophat,odabo
🎓,knowledge,ogene
🧢,cap,agaba
⛑️,rescue,eruze
📿,prayerbeads,abore
💄,lipstick,ulubu
💍,ring,urunu
💎,jewel,eje
🔇,silence,uzele
🔊,sound,ozuno
📢,loud,oludo
📣,megaphone,emago
🔔,bell,ebele
🎵,melody,emolo
🎶,music,umuzu
🎚️,trigger,uderuge
🎛️,complex,ogemobe
🎤,microphone,umogo
🎧,headphones,ehado
📻,radio,arudo
🎷,saxophone,azozo
🎺,trumpet,uderume
🪗,accordion,agogu
🎸,guitar,uguda
🎹,piano,ubano
🎻,violin,uvolu
🪕,banjo,abona
🥁,drum,udurumu
🪇,maracas,amara
🪈,flute,uvelude
📱,phone,obeho
☎️,telephone,edelo
📞,call,agalala
📟,pager,abegare
📠,fax,avaza
🔋,battery,abedo
🔌,plug,ubulugu
💻,laptop,aloba
🖥️,computer,ogume
🖨️,printer,uberune
⌨️,keyboard,egobo
🖱️,computermouse,ogumebo
🖲️,trackball,adaraga
💽,minidisk,umunudu
💾,keep,egebe
💿,disk,uduzugu
📀,DVD,adava
🧮,abacus,abagu
🎥,filmcamera,uvale
🎞️,movie,omuve
📽️,projector,oberojo
🎬,activity,agudu
📺,TV,adavada
📷,camera,agemara
📹,videocamera,uvedo
📼,videocassette,uvedoga
🔍,find,uvunu
🕯️,candle,agena
💡,light,uluguhu
🔦,flashlight,avula
🏮,lantern,ale
🪔,oillamp,olula
📖,book,obogo
📚,books,obogozo
📓,notebook,onedo
📒,ledger,elede
📜,scroll,ozogoro
📄,page,abegabe
📰,newspaper,ena
🔖,bookmark,oboga
🏷️,of,ovovo
🪙,coin,oguno
💰,money,omenomo
💸,spend,ezebe
🧾,receipt,eregu
✉️,mail,amula
📧,email,emalu
📩,getletter,egede
📤,out,odudo
📥,in,ununu
📦,box,obozo
📫,closedmailbox,ogela
📬,until,unudu
🗳️,vote,ovedo
✏️,pencil,ebune
🖊️,pen,ebene
🖌️,paintbrush,abunu
🖍️,crayon,agoro
📝,memo,emome
💼,case,agezage
📁,folder,ovelode
🗂️,category,agedo
📅,date,adeda
🗓️,month,omonodo
📈,increase,unega
📊,chart,agaha
📋,clipboard,ugola
📌,pin,ubunu
📍,place,abelage
📎,paperclip,abebu
📏,ruler,urelu
📐,triangleruler,udare
✂️,scissors,uzogu
🗃️,organize,oragu
🗄️,filecabinet,uvela
🗑️,wastebasket,aweza
🔒,lock,ologogo
🔓,unlock,unolu
🔑,key,egoge
🗝️,oldkey,oledo
🔨,hammer,ahemame
🪓,axe,azeza
⛏️,pickaxe,ubage
⚒️,hammerpick,ahemu
🛠️,hammerwrench,aheme
🗡️,dagger,adega
⚔️,swords,ozowo
💣,bomb,obomo
🪃,boomerang,obome
🛡️,shield,uzehule
🪚,saw,azawaza
🔧,wrench,ewere
🪛,screwdriver,ezuge
⚙️,engine,enu
🗜️,clamp,agalama
⚖️,scale,azegale
🔗,relation,eralu
⛓️,chain,aguha
🪝,hook,ohogo
🧰,work,oworogo
🧲,magnet,amega
🪜,ladder,aleda
⚗️,alembic,alemu
🧪,material,amedu
🧫,petridish,ebudu
🧬,DNA,adana
🔬,microscope,umogore
🔭,telescope,edeloze
📡,antenna,aneda
💉,syringe,ozure
🩸,blood,obolo
💊,pill,ubululu
🩹,bandage,abaneda
🩼,crutch,ugurudu
🩺,stethoscope,ezodo
🩻,x-ray,azora
🚪,door,odorodoro
🛗,elevator,eleva
🪞,mirror,umoru
🪟,window,uwo
🛏️,bed,ebedebe
🪑,chair,aguharu
🚽,toilet,odule
🪠,plunger,ubelu
🚿,shower,ozehowe
🛁,bathtub,abuda
🪤,trap,adaraba
🪒,razor,aroza
🧴,lotion,oludono
🧷,safetypin,azevo
🧹,broom,oboro
🧺,basket,abezage
🧻,toiletpaper,oduleda
🪣,bucket,ubeguge
🧼,soap,ozabo
🫧,bubble,ubebube
🪥,toothbrush,ododu
🧽,sponge,ozebo
🧯,extinguisher,ezudu
🛒,cart,agarada
🚬,cigarette,ugage
⚰️,coffin,oguvo
🪦,tombstone,odome
⚱️,urn,urunuru
🧿,envy,enove
🗿,moai,omamu
🪧,sign,uzugunuzu
🪪,idcard,udagu
🚮,remove,erome
🚻,bathroom,abodo
⚠️,warning,awu
⛔,donot,odono
🚫,not,onodo
☢️,radioactive,arudoga
☣️,biohazard,uboha
⬆️,up,ububu
➡️,fromto,ovoromo
⬇️,down,odowo
⬅️,left,elevede
↔️,or,ororo
↩️,return,erude
↪️,leftcurve,eluve
🔄,change,ageha
🛐,religion,erulu
⚛️,atom,adoma
🕉️,hinduism,uhunu
✡️,davidstar,aduva
☸️,buddhism,ubudu
☯️,yinyang,onuno
✝️,latincross,aludo
☦️,orthodox,orodo
☪️,islam,uzalu
☮️,peace,ebagebe
🕎,judaism,uja
🔀,different,udeve
🔁,repeat,ereba
▶️,begin,ebuge
⏩,quick,ugugu
⏭️,next,eneze
⏮️,previous,eburo
⏫,maximal,amuza
🔽,less,eleze
⏬,minimal,umuna
⏸️,pause,abuze
⏹️,stopbutton,ozudo
⏺️,inside,unuze
⏏️,eject,ejege
📶,signal,uzagu
🛜,wifi,uwuvu
📳,vibrate,uvabe
♀️,female,evame
♂️,male,amela
✖️,multiply,umulo
➕,plus,ubuluzu
➖,minus,umunuzu
➗,divide,uduve
♾️,always,alawo
❓,questionmark,ugezu
❗,must,umuzudu
〰️,still,uzudulu
💲,dollar,odalo
♻️,recycle,eroge
⚜️,fleurdelis,evule
🔱,trident,uderude
📛,name,anema
✅,right,urugu
☑️,check,egehege
✔️,yes,ozezo
❌,false,avela
➰,loop,olobo
➿,turn,udurunu
©️,copyright,ogobu
®️,registered,eruge
™️,trademark,aderada
🔢,multiple,umule
ℹ️,information,unova
🆔,id,ududu
🆗,okay,ogago
⚪,circle,ugeruge
🟥,red,erede
🟧,oragne,orage
🟨,yellow,olelo
🟩,green,egere
🟦,blue,ubelube
🟪,purple,uberube
🟫,brown,oborowo
⬛,black,abalaga
◻️,white,uwehu
▪️,fullstop,uvolulo
▫️,comma,ogamoma
🔶,something,ozemu
🔺,triangle,udarenu
🔘,choice,oguhe
🔲,square,uzage
🏁,finish,uvunuzu
🏴,blackflag,abalagaga
🏳️,whiteflag,uweha
🇦🇨,Ascension Island,azegu
🇦🇩,Andorra,anoda
🇦🇪,United Arab Emirates,unude
🇦🇫,Afghanistan,avagu
🇦🇬,Antigua & Barbuda,anudu
🇦🇮,Anguilla,anugu
🇦🇱,Albania,alabu
🇦🇲,Armenia,aremu
🇦🇴,Angola,anogala
🇦🇶,Antarctica,anadu
🇦🇷,Argentina,aregu
🇦🇸,American Samoa,ameru
🇦🇹,Austria,azudu
🇦🇺,Australia,azudarula
🇦🇼,Aruba,arubara
🇦🇽,Åland Islands,aluna
🇦🇿,Azerbaijan,azera
🇧🇦,Bosnia & Herzegovina,obuza
🇧🇧,Barbados,abaro
🇧🇩,Bangladesh,abanega
🇧🇪,Belgium,ebulu
🇧🇫,Burkina Faso,ubura
🇧🇬,Bulgaria,ubalu
🇧🇭,Bahrain,abahu
🇧🇮,Burundi,uburunu
🇧🇯,Benin,ebunenu
🇧🇱,St. Barthélemy,azedoba
🇧🇲,Bermuda,ebura
🇧🇳,Brunei,uberunu
🇧🇴,Bolivia,obulu
🇧🇶,Caribbean Netherlands,agure
🇧🇷,Brazil,abura
🇧🇸,Bahamas,abaha
🇧🇹,Bhutan,ubahu
🇧🇻,Bouvet Island,obuve
🇧🇼,Botswana,obada
🇧🇾,Belarus,ebalu
🇧🇿,Belize,ebule
🇨🇦,Canada,aganada
🇨🇨,Cocos (Keeling) Islands,ogoge
🇨🇩,Congo - Kinshasa,ogonu
🇨🇫,Central African Republic,egana
🇨🇬,Congo - Brazzaville,ogona
🇨🇭,Switzerland,uzewa
🇨🇮,Côte d’Ivoire,egudo
🇨🇰,Cook Islands,ogoguza
🇨🇱,Chile,ugehule
🇨🇲,Cameroon,agemo
🇨🇳,China,ugahu
🇨🇴,Colombia,ogolu
🇨🇵,Clipperton Island,ugelo
🇨🇷,Costa Rica,ogazu
🇨🇺,Cuba,ugabu
🇨🇻,Cape Verde,agebe
🇨🇼,Curaçao,ugara
🇨🇽,Christmas Island,ugahura
🇨🇾,Cyprus,oguboru
🇨🇿,Czechia,eguza
🇩🇪,Germany,egaro
🇩🇬,Diego Garcia,udego
🇩🇯,Djibouti,udoju
🇩🇰,Denmark,edane
🇩🇲,Dominica,odumu
🇩🇴,Dominican Republic,odumuna
🇩🇿,Algeria,alegu
🇪🇦,Ceuta & Melilla,eguda
🇪🇨,Ecuador,egudaro
🇪🇪,Estonia,ezodu
🇪🇬,Egypt,egobe
🇪🇭,Western Sahara,eweza
🇪🇷,Eritrea,erudera
🇪🇸,Spain,azuba
🇪🇹,Ethiopia,eduho
🇪🇺,European Union,erubo
🇫🇮,Finland,uvanu
🇫🇯,Fiji,uvujuvu
🇫🇰,Falkland Islands,avalu
🇫🇲,Micronesia,umoge
🇫🇴,Faroe Islands,avore
🇫🇷,France,avera
🇬🇦,Gabon,agoba
🇬🇧,United Kingdom,unudedu
🇬🇩,Grenada,egara
🇬🇪,Georgia,egoru
🇬🇫,French Guiana,evuru
🇬🇬,Guernsey,ugere
🇬🇭,Ghana,agahana
🇬🇮,Gibraltar,ugaba
🇬🇱,Greenland,egera
🇬🇲,Gambia,aguma
🇬🇳,Guinea,ugune
🇬🇵,Guadeloupe,ugade
🇬🇶,Equatorial Guinea,egudarolu
🇬🇷,Greece,egerege
🇬🇸,South Georgia & South Sandwich Islands,ozude
🇬🇹,Guatemala,ugadema
🇬🇺,Guam,ugamu
🇬🇼,Guinea-Bissau,uguneba
🇬🇾,Guyana,ugona
🇭🇰,Hong Kong SAR China,ohona
🇭🇲,Heard & McDonald Islands,eharo
🇭🇳,Honduras,ohuna
🇭🇷,Croatia,ogaru
🇭🇹,Haiti,ahudu
🇭🇺,Hungary,uhano
🇮🇨,Canary Islands,aganoru
🇮🇩,Indonesia,unode
🇮🇪,Ireland,urela
🇮🇱,Israel,uzare
🇮🇲,Isle of Man,uzelo
🇮🇳,India,unuda
🇮🇴,British Indian Ocean Territory,uburudu
🇮🇶,Iraq,ura
🇮🇷,Iran,uranu
🇮🇸,Iceland,ugela
🇮🇹,Italy,udalo
🇯🇪,Jersey,ejero
🇯🇲,Jamaica,ajamu
🇯🇴,Jordan,oja
🇯🇵,Japan,ajaba
🇰🇪,Kenya,egona
🇰🇬,Kyrgyzstan,ogora
🇰🇭,Cambodia,agomu
🇰🇮,Kiribati,ugura
🇰🇲,Comoros,ogomo
🇰🇳,St. Kitts & Nevis,uzedu
🇰🇵,North Korea,onore
🇰🇷,South Korea,ozudohe
🇰🇼,Kuwait,ugawu
🇰🇾,Cayman Islands,agoma
🇰🇿,Kazakhstan,agaza
🇱🇦,Laos,aloza
🇱🇧,Lebanon,elabo
🇱🇨,St. Lucia,uzudalu
🇱🇮,Liechtenstein,ulege
🇱🇰,Sri Lanka,uzara
🇱🇷,Liberia,ulebu
🇱🇸,Lesotho,elozo
🇱🇹,Lithuania,uluda
🇱🇺,Luxembourg,ulezo
🇱🇻,Latvia,aluda
🇱🇾,Libya,uloba
🇲🇦,Morocco,omoro
🇲🇨,Monaco,omano
🇲🇩,Moldova,omola
🇲🇪,Montenegro,omene
🇲🇫,St. Martin,azudamu
🇲🇬,Madagascar,amadaga
🇲🇭,Marshall Islands,amaru
🇲🇰,North Macedonia,ona
🇲🇱,Mali,amulamu
🇲🇲,Myanmar (Burma),omana
🇲🇳,Mongolia,omonu
🇲🇴,Macao SAR China,amago
🇲🇵,Northern Mariana Islands,onera
🇲🇶,Martinique,amuru
🇲🇷,Mauritania,amuruda
🇲🇸,Montserrat,omena
🇲🇹,Malta,amala
🇲🇺,Mauritius,amurudu
🇲🇻,Maldives,amule
🇲🇼,Malawi,amalu
🇲🇽,Mexico,emu
🇲🇾,Malaysia,amalo
🇲🇿,Mozambique,omazu
🇳🇦,Namibia,anumu
🇳🇨,New Caledonia,enawe
🇳🇪,Niger,unegu
🇳🇫,Norfolk Island,onoru
🇳🇬,Nigeria,unegura
🇳🇮,Nicaragua,unaga
