lemma,literal
government,classical-building
grab,hand
grade,bar-chart
gradually,snail
grandfather,old-man
grandma,old-woman
grandmother,old-woman
grandpa,old-man
grandparent,older-person
grant,wrapped-gift
grappling,wrestling
grass,herb
grave,headstone
great,star
greeting,wave
grip,hand
ground,globe
group,silhouettes
grow,seedling
growth,seedling
guarantee,locked
guess,thought
guest,bellhop
guide,compass
guilty,worried
gun,water-pistol
guy,man
gym,weightlifting
gymnastics,cartwheel
hair,haircut
half,pie
handle,hand
hang,hook
happen,boom
happy,smile
harbor,anchor
hard,rock
hardhat,construction-worker
hardly,minus
hate,anger
head,silhouette
heal,medical
health,medical
healthy,medical
hear,ear
heat,fire
heaven,cloud
heavy,anchor
height,mountain
hell,fire
hello,wave
help,life-ring
here,pushpin
hero,superhero
heroic,superhero
herself,woman
hi,wave
hide,disguise
high,mountain
highly,mountain
highway,car
himself,man
historical,scroll
history,scroll
hit,boom
hold,hand
holiday,party-popper
holy,om
home,house
hope,pleading
host,bellhop
hour,mantel-clock
household,house
hover,levitate
how,compass
however,shuffle
huge,mountain
human,person
hungry,hamburger
hurt,medical
husband,man
idea,thought
identify,id-card
image,framed-picture
imagine,thought
immediately,lightning
immigration,passport-control
import,package
importance,exclamation-red
important,exclamation-red
impossible,prohibited
improve,chart-up
improvement,chart-up
include,plus
including,plus
income,money-bag
incorporate,plus
increase,chart-up
increasingly,chart-up
indeed,yes
independent,dove
indicate,megaphone
indifference,shrug
individual,person
industry,factory
infant,baby
influence,chains
info,information
inform,megaphone
initial,play
initially,play
initiate,play
injection,syringe
injury,bandage
innovation,lightbulb
inquire,question-red
inside,door
inspect,magnify
instance,lightbulb
instead,shuffle
institution,classical-building
instructor,teacher
instrument,guitar
insurance,shield
intend,thought
interest,starstruck
international,globe
internet,wireless
internet-troll,troll
interview,microphone
introduce,play
introduction,beginner
invest,money-bag
investigation,detective
investigator,detective
investment,money-bag
investor,money-bag
invitation,envelope
invite,envelope
invoice,receipt
involve,link
iron,nut-bolt
issue,warning
item,label
iterate,loop
itself,gear
jealous,green
job,briefcase
jockey,horse-racing
jog,running
join,link
journal,notebook
juggle,juggling
juggler,juggling
juice,juice-box
jump,kangaroo
keep,locked
kick,foot
kid,child
kill,skull
killer,skull
kind,care
king,monarch
kitchen,cook
kitten,cat
kneel,kneeling
know,brain
knowledge,brain
labor,construction-worker
lack,magnify
lady,woman
lake,droplet
land,globe
language,letters
large,whale
largely,mountain
last,hourglass-done
late,alarm-clock
later,next-track
launch,play
lavatory,restroom
law,scale
lawyer,scale
lay,bed
lazy,sloth
lead,crown
leader,crown
leaf,herb
learn,graduation-cap
least,abacus
leather,handbag
leave,door
leftward,left
legal,scale
length,ruler
less,minus
lesson,school
let,unlocked
letter,letters
level,bar-chart
library,book
license,id-card
lick,tongue
life,seedling
lift,weightlifting
light,traffic-light
light-weight,feather
like,thumbs-up
likely,crystal-ball
limit,stop
limp,crutch
line,page
lip,lips
list,clipboard
listen,ear
little,baby
live,seedling
loan,money-bag
local,pushpin
location,pushpin
lock,locked
login,key
lonely,silhouette
long,ruler
look,eyes
loose,unlocked
lose,chart-down
loss,chart-down
lot,hundred
loud,speaker-high
low,speaker-low
lower,minus
luck,crossed-fingers
lunch,hamburger
machine,robot
magazine,newspaper
magic,magic-wand
magnetic,magnet
mail,envelope
main,star
maintain,wrench
major,star
majority,hundred
make,hammer
manage,gear
management,gear
manager,gear
manicure,nail-polish
manufacture,hammer
many,hundred
map,world-map
marathon,running
mark,pencil
market,cart
marriage,wedding
marry,wedding
mass,mountain
master,crown
match,puzzle-piece
material,brick
math,abacus
matter,scale
maybe,crystal-ball
meal,hamburger
mean,thought
measure,ruler
mechanism,gear
medic,doctor
medication,pill
medicine,medical
medium,speaker-medium
meet,handshake
member,id-card
memory,brain
mention,speaking-head
message,memo
metal,rock-on
metamorphosis,butterfly
method,compass
mic,microphone
middle,left-right
mile,ruler
military,sword-crossed
mind,brain
mine,pick
mining,pick
minus-sign,minus
minute,stopwatch
miss,magnify
mistake,cross
mix,shuffle
mixed,shuffle
mobile,phone
model,robot
modern,sparkles
modify,refresh
mom,woman
moment,stopwatch
money,money-bag
monitor,television
month,calendar
moon,crescent-moon
more,chart-up
moreover,plus
morning,sunrise
most,hundred
mostly,hundred
mother,woman
move,dash
movement,running
movie,cinema
mtb,mountain-biking
much,hundred
murder,skull
muscle,bicep
museum,classical-building
music,music-note
musical,musical-keyboard
muted,mute
myself,silhouette
namaste,pray
name,name-tag
nappy,baby-changing
narrow,minus
nation,globe
national,classical-building
natural,national-park
naturally,seedling
nature,national-park
near,pushpin
nearly,pushpin
necessary,sos
necessity,sos
need,sos
negative,thumbs-down
neighbor,house
neither,prohibited
nervous,anxious
net,fishing
network,link
never,prohibited
nevertheless,shield
new,sparkles
newbie,beginner
newborn,baby
news,newspaper
next,next-track
nice,sparkles
nine,9
nobody,prohibited
none,prohibited
nonetheless,shield
noon,sun
nope,no
normal,ok
north,compass
notable,exclamation-red
note,memo
nothing,hole
notice,eyes
notification,bell
notify,bell
notion,thought
novel,sparkles
novice,beginner
now,mantel-clock
nowhere,hole
nuclear,radioactive
number,numbers
numeric,numbers
numerous,hundred
nurse,doctor
object,label
objective,bullseye
obligation,clipboard
observe,eye
obvious,sparkles
obviously,sparkles
occupation,briefcase
occur,boom
ocean,ocean-wave
odd,zany
offer,wrapped-gift
officer,police
official,newspaper
often,repeat
oil,oil-lamp
okay,ok
okey,ok
old,old-man
one,1
online,wireless
onto,package
open,unlocked
operate,gear
operation,gear
opinion,thought
opportunity,door
oppose,left-right
opposite,left-right
opposition,left-right
oral,mouth
order,clipboard
organic,seedling
organisation,office
organise,clipboard
organization,office
organize,clipboard
original,sparkles
other,option
otherwise,shuffle
ours,key
ourselves,silhouettes
outcome,checkered-flag
outside,door
outstanding,star
overall,globe
overdue,alarm-clock
owe,money-bag
own,key
owner,key
pack,package
pail,bucket
pain,medical
paint,palette
pair,couple
paper,page
parcel,package
parent,family
park,national-park
part,puzzle-piece
particular,sparkles
particularly,sparkles
partner,handshake
pass,ticket
passenger,bus
passport,passport-control
password,key
past,mantel-clock
path,compass
patient,medical
pattern,puzzle-piece
pay,money-bag
payment,credit-card
peak,mountain
pearl,oyster
pedestrian,walking
penny,coin
people,silhouettes
per,divide
percent,bar-chart
percentage,bar-chart
perception,eyes
perfect,hundred
perform,theater
performance,theater
perhaps,crystal-ball
period,calendar
personal,id-card
pet,dog
photo,camera
photograph,camera
photography,camera
physical,bicep
physician,doctor
piano,musical-keyboard
picture,framed-picture
piece,puzzle-piece
pin,pushpin
pixie,fairy
place,pushpin
plan,clipboard
plane,airplane
planet,globe
plant,potted-plant
plastic,package
platform,theater
player,video-game
please,pray
pleasure,smile
pledge,handshake
plenty,hundred
plus-sign,plus
pointing,point
policy,scroll
polish,nail-polish
political,ballot-box
politics,ballot-box
pollution,factory
ponder,thought
poor,thumbs-down
pop,boom
popular,star
population,silhouettes
port,boat
portion,puzzle-piece
position,pushpin
positive,thumbs-up
possibility,crystal-ball
possible,crystal-ball
possibly,crystal-ball
post,post-office
postal,envelope
potable,drinking-water
potential,crystal-ball
pouting,pout
power,lightning
powerful,lightning
practical,toolbox
practice,clipboard
praise,clap
predict,crystal-ball
prefer,thumbs-up
prepare,clipboard
presence,silhouette
present,wrapped-gift
president,crown
press,newspaper
pressure,warning
presume,thought
pretty,flower
prevent,prohibited
previous,back
previously,back
price,money-bag
priest,pray
primary,star
principal,crown
principle,scale
print,printer
private,locked
prize,medal
probably,crystal-ball
problem,warning
procedure,compass
proceed,walking
process,gear
produce,hammer
product,toolbox
production,factory
profession,briefcase
professional,briefcase
professor,teacher
profit,money-bag
program,laptop
programmer,technologist
progress,chart-up
project,clipboard
promise,handshake
promote,megaphone
proper,correct
property,house
proposal,clipboard
propose,raise-hand
protect,umbrella
proud,trophy
prove,yes
provide,wrapped-gift
public,silhouettes
pull,left-right
pump,gas-pump
pupil,student
puppy,dog
purchase,cart
purpose,bullseye
push,hand
put,inbox
quality,gemstone
quantity,numbers
quarter,pie
queen,monarch
query,question-red
question,question-red
quick,fast-forward
quickly,fast-forward
quiet,mute
quite,hundred
race,running
raise,raise-hand
range,left-right
rapid,fast-forward
rarely,hourglass
rate,bar-chart
rather,shuffle
ratio,bar-chart
reach,arrival
reaction,boom
read,book
reader,book
ready,ok
real,yes
reality,yes
realize,brain
really,exclamation-red
reason,brain
reasonable,scale
recall,brain
receive,package
recent,calendar
recently,calendar
recognize,brain
recommend,thumbs-up
recover,medical
recycle,recycling
reduce,minus
refer,point
reference,bookmark-tab
reflect,thought
reflection,mirror
reform,refresh
refuse,prohibited
regard,eyes
regarding,eyes
region,world-map
regret,cry
regular,repeat
reject,thumbs-down
relate,chains
relation,chains
relationship,chains
relative,family
relatively,left-right
release,unlocked
religion,pray
religious,pray
remain,anchor
remarkable,star
remember,brain
remove,wastebasket
rent,house
replace,refresh
reply,speech
report,newspaper
represent,theater
request,pleading
require,sos
requirement,clipboard
rescue,life-ring
research,test-tube
researcher,scientist
residence,house
resource,toolbox
respect,eyes
respond,speech
response,speech
responsibility,scale
responsible,scale
rest,bed
restaurant,plate
result,checkered-flag
return,back
reuse,recycling
reveal,eyes
revenue,money-bag
review,eyes
revise,refresh
rich,money-bag
ride,car
rightward,right
rise,chart-up
risk,warning
river,droplet
road,car
role,theater
roll,paper-roll
room,couch-lamp
root,root-veg
round,repeat
route,compass
row,rowing
rowboat,rowing
royal,monarch
royalty,monarch
rubber,balloon
rubbish,litter
rule,scroll
run,running
sacred,om
sad,cry
safe,locked
safety,locked
sale,receipt
salon,haircut
same,left-right
sample,test-tube
satisfaction,smile
satisfy,smile
save,life-ring
save-money,floppy-disk
say,speaking-head
scan,x-ray
scare,fear
scared,fear
scene,framed-picture
schedule,calendar
scheme,clipboard
science,atom
score,bar-chart
score-twenty,numbers
screen,cinema
screw,screwdriver
sea,ocean-wave
search,magnify
season,calendar
second,2
secretary,office-worker
section,puzzle-piece
sector,pie
security,locked
see,eye
seed,seedling
seek,magnify
seem,disguise
segment,puzzle-piece
seize,hand
select,option
sell,shopping-bag
send,outbox
senior,old-man
sense,heartbeat
sentence,memo
sentiment,heartbeat
sentry,guard
separate,unlink
series,book
serious,worried
seriously,worried
serve,bellhop
service,bellhop
session,clipboard
set,set-square
settle,handshake
seven,7
several,numbers
sex,couple
sexual,couple
shape,white-square
share,handshake
shave,razor
sheet,sheet-music
shift,refresh
shine,sparkles
shipment,package
shock,exclamation-double
shoot,bow-arrow
shop,cart
short,ruler
shot,syringe
shoulder,bicep
show,cinema
side,left-right
sign,placard
significant,exclamation-red
silence,mute
silent,bell-off
similar,left-right
simple,ok
simply,ok
since,hourglass
sing,singer
single,1
siren,mermaid
sister,woman
sit,seat
site,pushpin
situation,worried
six,6
size,ruler
ski,skis
skill,bicep
skin,person
sky,cloud
slightly,minus
slow,snail
small,ant
smell,nose
smoke,cigarette
smoking,cigarette
sms,phone
sniff,nose
social,silhouettes
society,silhouettes
sofa,couch-lamp
soft,feather
software,laptop
soldier,sword-crossed
solidarity,fist
solution,lightbulb
solve,lightbulb
some,shuffle
somebody,person
somehow,shrug
someone,person
something,label
sometimes,shuffle
somewhat,minus
somewhere,pushpin
somewhere-place,pushpin
son,boy
song,music-note
soon,fast-forward
sorcerer,mage
sorry,cry
sort,shuffle
soul,dove
sound,speaker-high
soup,stew
source,compass
south,compass
space,milky-way
spare,plus
speak,speaking-head
speaker,speaker-high
special,sparkles
specific,sparkles
speed,fast-forward
spirit,ghost
spiritual,om
split,unlink
sport,soccer
spot,eye
spread,globe
spring,seedling
sprint,running
square,white-square
staff,office-worker
stage,theater
stand,standing
standard,ruler
stare,eyes
start,play
state,classical-building
statement,megaphone
statue,moai
status,standing
stay,hotel
stealth,ninja
steam,sauna
steel,nut-bolt
step,walking
stick,wood
sticker,label
stock,chart-up
stone,rock
store,department-store
storm,thunderstorm
story,scroll
straight,ruler
strain,worried
strange,zany
stranger,silhouette
strategy,clipboard
stream,droplet
street,cityscape
strength,bicep
stress,worried
strike,boom
strong,bicep
structure,classical-building
struggle,rock
studio,studio-mic
study,graduation-cap
stuff,label
stupid,poop
style,palette
subject,graduation-cap
submit,inbox
subsequent,next-track
subtract,minus
succeed,trophy
success,trophy
successful,trophy
such,sparkles
sudden,boom
suddenly,boom
suffer,medical
sugar,candy
suggest,lightbulb
suggestion,lightbulb
suit,tuxedo
suitcase,luggage
sulk,pout
sum,abacus
summer,sun
summit,mountain
superb,star
supply,money-bag
support,life-ring
suppose,thought
sure,check
surf,surfing
surface,sponge
surprised,surprise
surround,globe
survey,clipboard
survive,life-ring
sustainable,recycling
sweep,broom
sweet,sweet-potato
swift,fast-forward
swim,swimming
sword,sword-crossed
symbol,symbols
system,gear
table,plate
take,hand
talk,speaking-head
tall,mountain
tank,truck
tape,videocassette
target,bullseye
task,clipboard
taste,tongue
tax,credit-card
teach,teacher
team,silhouettes
tear,tear-smile
technical,gear
technique,compass
technology,laptop
teeth,tooth
telephone,phone
tell,speech
temperature,thermometer
temple,hindu-temple
ten,10
tend,footprints
term,memo
test,test-tube
text,memo
thank,pray
thanks,pray
theirs,key
theme,musical-keyboard
themselves,silhouettes
then,mantel-clock
theory,thought
there,pushpin
therefore,abacus
thick,brick
thin,minus
thing,label
thirsty,droplet
threat,warning
three,3
through,door
throughout,globe
throw,boomerang
thus,abacus
tick,check
tie,chains
tie-up,chains
till,hourglass
tire,car
title,name-tag
tobacco,cigarette
today,calendar
toddler,baby
together,holding-hands
tomb,headstone
tomorrow,calendar
tool,toolbox
top,top-hat
topic,speech
torch,flashlight
total,infinity
total-sum,abacus
totally,hundred
touch,hand
tour,airplane
toward,point
towards,point
tower,tokyo-tower
town,cityscape
traces,footprints
track,footprints
trade,handshake
tradition,scroll
traditional,scroll
traffic,traffic-light
trail,footprints
transfer,dash
transform,butterfly
transition,refresh
transport,truck
trap,mousetrap
trash,litter
travel,airplane
treat,medical
treatment,medical
trend,footprints
trial,test-tube
trip,airplane
triple,3
trouble,warning
true,yes
trust,handshake
truth,yes
try,crossed-fingers
tube,test-tube
tunnel,hole
turn,refresh
tv,television
two,2
type,keyboard
typing,keyboard
unclear,fog
undead,zombie
underlie,brick
understand,brain
unfortunately,cry
unhappy,frown
union,european-union
unique,sparkles
unit,atom
universe,milky-way
university,graduation-cap
update,refresh
upon,package
upward,up
upwards,up
urgent,sos
url,link
usd,dollar
use,gear
useful,toolbox
user,wheelchair-user
usual,ok
usually,repeat
vaccine,syringe
validate,check
value,gemstone
variety,shuffle
various,shuffle
vary,shuffle
vast,mountain
vegetable,broccoli
vehicle,car
venue,pushpin
verify,check
version,refresh
via,compass
video,video-camera
view,eye
village,cityscape
villain,supervillain
virus,microbe
visit,shinto-shrine
visitor,shinto-shrine
voice,megaphone
void,hole
volume,speaker-high
volunteer,raise-hand
vote,ballot-box
wait,hourglass
waiter,bellhop
wake,sunrise
walk,walking
wall,brick
want,pleading
war,sword-crossed
warm,fire
warn,warning
wash,soap
waste,wastebasket
water,droplet
wax,candle
way,compass
wc,restroom
weak,low-battery
wealth,money-bag
weapon,bomb
wear,t-shirt
weather,sun-rain
web,wireless
website,laptop
week,calendar
weekend,calendar
weight,scale
weights,weightlifting
welcome,wave
west,sunset
western,western-sahara
wet,droplet
what,question-red
whatever,shrug
when,mantel-clock
whenever,calendar
where,pushpin
wherever,globe
which,option
whichever,option
who,silhouette
whoever,silhouette
whole,infinity
whom,silhouette
whoosh,dash
whose,key
why,question-red
wide,left-right
wife,woman
wifi,wireless
wild,lion
win,medal
winter,snowflake
wish,pleading
witch,mage
withdraw,atm
within,door
without,prohibited
wizard,mage
wonder,question-red
wonderful,star
word,letters
work,briefcase
worker,office-worker
workplace,office
world,globe
worry,worried
worth,gemstone
wound,bandage
wrestle,wrestling
write,writing-hand
writer,writing-hand
wrong,cross
xray,x-ray
yeah,victory
year,calendar
yep,yes
yesterday,calendar
young,child
yours,key
yourself,silhouette
zero,0
zoo,paw-prints
zoom,magnify
