sense_form,pos,emoji,kind,gloss,definition,mnemonic,anchor
odohol,th,💭,may,MAY-find-out,may mood find-out hold (I'll / let's find out),"thought balloon plus looking: could be, and you are seeking",knowing.md#hold-endings-may
odohol,w,💭,may,MAY-find-out,may mood find-out hold (I'll / let's find out),"thought balloon plus looking: could be, and you are seeking",knowing.md#mood-on-one-adjective
odohon,th,💭,may,MAY.named,may mood proper (this may-word names a particular object),thought balloon as a named caption; -n is ordinary proper not a hold,knowing.md#may
odohon,w,💭,may,MAY.named,may mood proper (this may-word names a particular object),thought balloon as a named caption; -n is ordinary proper not a hold,knowing.md#mood-on-one-adjective
odohor,th,💭,may,MAY-who-knows,may mood who-knows hold (leave unsettled; may never know),"thought balloon with a shrug: could be, and you are not seeking — including if you never know",knowing.md#hold-endings-may
odohor,w,💭,may,MAY-who-knows,may mood who-knows hold (leave unsettled; may never know),"thought balloon with a shrug: could be, and you are not seeking — including if you never know",knowing.md#mood-on-one-adjective
adadem,th,🎭,notional,NOTIONAL,notional mood default hold (imagining a scene without a further purpose),theater mask marks an imagined scene without a special purpose,knowing.md#notional-as-if-framing
adadem,w,🎭,notional,NOTIONAL,notional mood default hold (imagining a scene without a further purpose),theater mask marks an imagined scene without a special purpose,knowing.md#mood-on-one-adjective
adader,th,🎭,notional,NOTIONAL-suppose,notional mood suppose hold (toying with a possibility or assumption for now),theater mask tried on for a moment to toy with what might follow,knowing.md#hold-endings-notional
adader,w,🎭,notional,NOTIONAL-suppose,notional mood suppose hold (toying with a possibility or assumption for now),theater mask tried on for a moment to toy with what might follow,knowing.md#mood-on-one-adjective
adaden,th,🎭,notional,NOTIONAL.named,notional mood proper (this as-if-word names a particular object),theater as a named setup; -n is ordinary proper not a hold,knowing.md#notional-as-if-framing
adaden,w,🎭,notional,NOTIONAL.named,notional mood proper (this as-if-word names a particular object),theater as a named setup; -n is ordinary proper not a hold,knowing.md#mood-on-one-adjective
adadel,th,🎭,notional,NOTIONAL-rehearse,notional mood rehearsal hold (practicing a possible scene to prepare for action),theater mask marks a scene practiced in preparation for action,knowing.md#hold-endings-notional
adadel,w,🎭,notional,NOTIONAL-rehearse,notional mood rehearsal hold (practicing a possible scene to prepare for action),theater mask marks a scene practiced in preparation for action,knowing.md#mood-on-one-adjective
ogegam,th,🌊,emotion_act,HIGH,emotion HIGH activation (flood / surge),ocean wave surges; flood is high-arousal water motion,interests.md#emotion-compose
ogegam,w,🌊,emotion_act,HIGH,emotion HIGH activation (flood / surge),ocean wave surges; flood is high-arousal water motion,interests.md#emotion-compose
ejelom,th,🪼,emotion_act,MED,emotion MED activation (flow / drift),jellyfish drifts with current; flow is mid motion of water,interests.md#emotion-compose
ejelom,w,🪼,emotion_act,MED,emotion MED activation (flow / drift),jellyfish drifts with current; flow is mid motion of water,interests.md#emotion-compose
ozowom,th,🌨️,emotion_act,LOW,emotion LOW activation (stillness / slack),snow quiets the landscape; stillness is calm slack water,interests.md#emotion-compose
ozowom,w,🌨️,emotion_act,LOW,emotion LOW activation (stillness / slack),snow quiets the landscape; stillness is calm slack water,interests.md#emotion-compose
abobom,th,🍼,emotion_locus,INTERNAL,emotion INTERNAL locus (charge held inside),bottle holds liquid inside; bottle is in-vessel charge,interests.md#emotion-compose
abobom,w,🍼,emotion_locus,INTERNAL,emotion INTERNAL locus (charge held inside),bottle holds liquid inside; bottle is in-vessel charge,interests.md#emotion-compose
orurum,th,🫗,emotion_locus,EXTERNAL,emotion EXTERNAL locus (charge toward others),pour directs liquid outward; pour is other-directed charge,interests.md#emotion-compose
orurum,w,🫗,emotion_locus,EXTERNAL,emotion EXTERNAL locus (charge toward others),pour directs liquid outward; pour is other-directed charge,interests.md#emotion-compose
anedem,th,🕯️,emotion_locus,CIRCUM,emotion CIRCUM locus (ambient / situational field),candle light fills the room; awash is charge in the surrounding field,interests.md#emotion-compose
anedem,w,🕯️,emotion_locus,CIRCUM,emotion CIRCUM locus (ambient / situational field),candle light fills the room; awash is charge in the surrounding field,interests.md#emotion-compose
egeram,th,🥣,ability,ABIL,hostless ability fallback (capacity),bowl holds what it can; capacity is floating ability without a host,intention.md#when-there-is-no-single-verb-egera
egeram,w,🥣,ability,ABIL,hostless ability fallback (capacity),bowl holds what it can; capacity is floating ability without a host,intention.md#when-there-is-no-single-verb-egera
ugudol,th,⛅,universality,COMMON,universality COMMON warrant (usual / exceptions expected),weather is the usual climate; usual warrant expects exceptions,knowing.md#universality
ugudol,w,⛅,universality,COMMON,universality COMMON warrant (usual / exceptions expected),weather is the usual climate; usual warrant expects exceptions,knowing.md#mood-on-one-adjective
abulul,th,💊,universality,UNCOUNTERED,universality UNCOUNTERED warrant (no counterexample found),pill remedies what ails; uncountered is no case comes to mind,knowing.md#universality
abulul,w,💊,universality,UNCOUNTERED,universality UNCOUNTERED warrant (no counterexample found),pill remedies what ails; uncountered is no case comes to mind,knowing.md#mood-on-one-adjective
arazal,th,⭐,universality,FORMAL,universality FORMAL warrant (definition / proof),star chart fixes constellations; formal is proof-level exceptionlessness,knowing.md#universality
arazal,w,⭐,universality,FORMAL,universality FORMAL warrant (definition / proof),star chart fixes constellations; formal is proof-level exceptionlessness,knowing.md#mood-on-one-adjective
abelel,th,🍎,universality,NATURAL,universality NATURAL warrant (natural necessity),apple falls by nature; natural is necessity in the world,knowing.md#universality
abelel,w,🍎,universality,NATURAL,universality NATURAL warrant (natural necessity),apple falls by nature; natural is necessity in the world,knowing.md#mood-on-one-adjective
ebebel,th,🌶️,universality,RULE,universality RULE warrant (holds inside named frame),board game has its rules; rule-frame scopes exceptionlessness,knowing.md#universality
ebebel,w,🌶️,universality,RULE,universality RULE warrant (holds inside named frame),board game has its rules; rule-frame scopes exceptionlessness,knowing.md#mood-on-one-adjective
onunan,z,☯️,benchmark,Average,judgment benchmark Average (population mean),yin-yang holds balance; balance is the average standard,comparatives.md#judgment-benchmarks-worse-than
onunan,d,☯️,benchmark,Average,judgment benchmark Average (population mean),yin-yang holds balance; balance is the average standard,comparatives.md#judgment-benchmarks-worse-than
onunan,b,☯️,benchmark,Average,judgment benchmark Average (population mean),yin-yang holds balance; balance is the average standard,comparatives.md#judgment-benchmarks-worse-than
ahaman,z,🐹,benchmark,Typical,judgment benchmark Typical (modal / usual case),hamster on a wheel of routine; routine is the typical standard,comparatives.md#judgment-benchmarks-worse-than
ahaman,d,🐹,benchmark,Typical,judgment benchmark Typical (modal / usual case),hamster on a wheel of routine; routine is the typical standard,comparatives.md#judgment-benchmarks-worse-than
ahaman,b,🐹,benchmark,Typical,judgment benchmark Typical (modal / usual case),hamster on a wheel of routine; routine is the typical standard,comparatives.md#judgment-benchmarks-worse-than
uroron,z,🪞,benchmark,my-standard,judgment benchmark my standard (speaker normative standard),mirror shows a reflection; that reflection is the bar I apply,comparatives.md#judgment-benchmarks-worse-than
uroron,d,🪞,benchmark,my-standard,judgment benchmark my standard (speaker normative standard),mirror shows a reflection; that reflection is the bar I apply,comparatives.md#judgment-benchmarks-worse-than
uroron,b,🪞,benchmark,my-standard,judgment benchmark my standard (speaker normative standard),mirror shows a reflection; that reflection is the bar I apply,comparatives.md#judgment-benchmarks-worse-than
uluden,z,👥,benchmark,Social,judgment benchmark Social (peers / in-group),silhouettes form community; community is the peer standard,comparatives.md#judgment-benchmarks-worse-than
uluden,d,👥,benchmark,Social,judgment benchmark Social (peers / in-group),silhouettes form community; community is the peer standard,comparatives.md#judgment-benchmarks-worse-than
uluden,b,👥,benchmark,Social,judgment benchmark Social (peers / in-group),silhouettes form community; community is the peer standard,comparatives.md#judgment-benchmarks-worse-than
alaban,z,🥼,benchmark,Professional,judgment benchmark Professional (expert / role standard),lab coat marks expertise; expertise is the pro standard,comparatives.md#judgment-benchmarks-worse-than
alaban,d,🥼,benchmark,Professional,judgment benchmark Professional (expert / role standard),lab coat marks expertise; expertise is the pro standard,comparatives.md#judgment-benchmarks-worse-than
alaban,b,🥼,benchmark,Professional,judgment benchmark Professional (expert / role standard),lab coat marks expertise; expertise is the pro standard,comparatives.md#judgment-benchmarks-worse-than
oloben,z,🌐,benchmark,Everyone,judgment benchmark Everyone (universal reference class),globe links every place; the connected whole is the universal class,comparatives.md#judgment-benchmarks-worse-than
oloben,d,🌐,benchmark,Everyone,judgment benchmark Everyone (universal reference class),globe links every place; the connected whole is the universal class,comparatives.md#judgment-benchmarks-worse-than
oloben,b,🌐,benchmark,Everyone,judgment benchmark Everyone (universal reference class),globe links every place; the connected whole is the universal class,comparatives.md#judgment-benchmarks-worse-than
egen,z,🥚,benchmark,Needed,judgment benchmark Needed (what the speaker's interest requires; interest unspecified),egg holds what is needed to grow; the interest is the bar,comparatives.md#interest-benchmarks
egen,d,🥚,benchmark,Needed,judgment benchmark Needed (what the speaker's interest requires; interest unspecified),egg holds what is needed to grow; the interest is the bar,comparatives.md#interest-benchmarks
egen,b,🥚,benchmark,Needed,judgment benchmark Needed (what the speaker's interest requires; interest unspecified),egg holds what is needed to grow; the interest is the bar,comparatives.md#interest-benchmarks
uhuhen,z,🛡️,benchmark,Survival-interest,judgment benchmark what the survival interest requires (safety / health),shield guards survival; safety sets the bar,comparatives.md#interest-benchmarks
uhuhen,d,🛡️,benchmark,Survival-interest,judgment benchmark what the survival interest requires (safety / health),shield guards survival; safety sets the bar,comparatives.md#interest-benchmarks
uhuhen,b,🛡️,benchmark,Survival-interest,judgment benchmark what the survival interest requires (safety / health),shield guards survival; safety sets the bar,comparatives.md#interest-benchmarks
onogon,z,🪢,benchmark,Relatedness-interest,judgment benchmark what the relatedness interest requires (connection),knot ties people together; connection sets the bar,comparatives.md#interest-benchmarks
onogon,d,🪢,benchmark,Relatedness-interest,judgment benchmark what the relatedness interest requires (connection),knot ties people together; connection sets the bar,comparatives.md#interest-benchmarks
onogon,b,🪢,benchmark,Relatedness-interest,judgment benchmark what the relatedness interest requires (connection),knot ties people together; connection sets the bar,comparatives.md#interest-benchmarks
olozon,z,🧰,benchmark,Competence-interest,judgment benchmark what the competence interest requires (getting it to work),toolbox gets the job done; working sets the bar,comparatives.md#interest-benchmarks
olozon,d,🧰,benchmark,Competence-interest,judgment benchmark what the competence interest requires (getting it to work),toolbox gets the job done; working sets the bar,comparatives.md#interest-benchmarks
olozon,b,🧰,benchmark,Competence-interest,judgment benchmark what the competence interest requires (getting it to work),toolbox gets the job done; working sets the bar,comparatives.md#interest-benchmarks
alodon,z,🗳️,benchmark,Autonomy-interest,judgment benchmark what the autonomy interest requires (choice),ballot is choosing for yourself; choice sets the bar,comparatives.md#interest-benchmarks
alodon,d,🗳️,benchmark,Autonomy-interest,judgment benchmark what the autonomy interest requires (choice),ballot is choosing for yourself; choice sets the bar,comparatives.md#interest-benchmarks
alodon,b,🗳️,benchmark,Autonomy-interest,judgment benchmark what the autonomy interest requires (choice),ballot is choosing for yourself; choice sets the bar,comparatives.md#interest-benchmarks
aweron,z,🍓,benchmark,Pleasure-interest,judgment benchmark what the pleasure interest requires (enjoyment),strawberry is enjoyment; enjoyment sets the bar,comparatives.md#interest-benchmarks
aweron,d,🍓,benchmark,Pleasure-interest,judgment benchmark what the pleasure interest requires (enjoyment),strawberry is enjoyment; enjoyment sets the bar,comparatives.md#interest-benchmarks
aweron,b,🍓,benchmark,Pleasure-interest,judgment benchmark what the pleasure interest requires (enjoyment),strawberry is enjoyment; enjoyment sets the bar,comparatives.md#interest-benchmarks
onunul,g,🪙,identity,SAME,SAME identity (identical-to / same-as),coin has two faces one substance; same is one referent two labels,predication.md#identity-same
adorom,th,🚪,clause_pole,if,IF clause pole (one-way conditional),door opens one way; opportunity is if without iff force,dependents.md#dependent-clauses
adorom,g,🚪,clause_pole,if,IF clause pole (one-way conditional),door opens one way; opportunity is if without iff force,causation.md#if
ezazem,th,↔️,clause_pole,iff,IFF clause pole (biconditional),left-right arrow goes both ways; reciprocity is if-and-only-if,dependents.md#dependent-clauses
ezazem,g,↔️,clause_pole,iff,IFF clause pole (biconditional),left-right arrow goes both ways; reciprocity is if-and-only-if,causation.md#only-because
urugum,th,🧱,clause_pole,because,BECAUSE clause pole (explanatory reason),brick stacks as foundation; foundation is because-reason under claim,dependents.md#dependent-clauses
urugum,g,🧱,clause_pole,because,BECAUSE clause pole (explanatory reason),brick stacks as foundation; foundation is because-reason under claim,causation.md#only-because
eberom,th,🧻,clause_pole,only-if,ONLY-IF clause pole (necessary condition),toilet paper is what you must have; necessity is the condition you cannot drop,dependents.md#dependent-clauses
eberom,g,🧻,clause_pole,only-if,ONLY-IF clause pole (necessary condition),toilet paper is what you must have; necessity is the condition you cannot drop,causation.md#only-if
ezebam,h,🦓,clause_pole,although,ALTHOUGH clause pole (concession; NP despite),zebra stripes show contrast; contrast is although against expectation; a noun in /b/ is English despite,dependents.md#dependent-clauses
ezebam,g,🦓,clause_pole,although,ALTHOUGH clause pole (concession; NP despite),zebra stripes show contrast; contrast is although against expectation; a noun in /b/ is English despite,dependents.md#dependent-clauses
egemum,h,♊,clause_pole,while,WHILE clause pole (concurrent),gemini twins mirror two sides; duality is while both sides at once,dependents.md#dependent-clauses
udumem,h,⏲️,clause_pole,until,UNTIL clause pole (endpoint bound),timer counts down to zero; deadline is until the endpoint,dependents.md#dependent-clauses
ababam,h,🎒,clause_pole,before,BEFORE clause pole (ahead-of),backpack holds what you need ahead; preparation is before the event,dependents.md#dependent-clauses
elabam,h,⌛,clause_pole,after,AFTER clause pole (just-after),hourglass just emptied; recency is after the prior edge,dependents.md#dependent-clauses
olalam,h,🥅,clause_pole,so-that,SO-THAT clause pole (intended outcome; NP for-goal),goal net is what you aim for; so-that is the event or thing the host is for,dependents.md#dependent-clauses
olalam,g,🥅,clause_pole,so-that,SO-THAT clause pole (intended outcome; NP for-goal),goal net is what you aim for; so-that is the event or thing the host is for,dependents.md#dependent-clauses
elerem,h,📒,clause_pole,as-of.ledger,AS-OF clause pole (asserted whose-now / dated ledger),ledger holds the dated line; asserted as-of is the books at that date,relations.md#as-of
elerem,g,📒,clause_pole,as-of.ledger,AS-OF clause pole (asserted whose-now / dated ledger),ledger holds the dated line; asserted as-of is the books at that date,relations.md#as-of
elerem,w,📒,clause_pole,as-of.ledger,AS-OF clause pole (asserted whose-now / dated ledger),ledger holds the dated line; asserted as-of is the books at that date,relations.md#as-of
elerer,h,📒,clause_pole,as-of.ledger,AS-OF clause pole (asserted whose-now / dated ledger) resume,ledger holds the dated line; -r resumes that ledger without /b/,relations.md#as-of
elerer,g,📒,clause_pole,as-of.ledger,AS-OF clause pole (asserted whose-now / dated ledger) resume,ledger holds the dated line; -r resumes that ledger without /b/,relations.md#as-of
elerer,w,📒,clause_pole,as-of.ledger,AS-OF clause pole (asserted whose-now / dated ledger) resume,ledger holds the dated line; -r resumes that ledger without /b/,relations.md#as-of
obomam,h,🔖,clause_pole,as-of.bookmark,AS-OF clause pole (unasserted whose-now / placeholder now),bookmark holds the place without stamping; unasserted as-of is a now you are not claiming,relations.md#as-of
obomam,g,🔖,clause_pole,as-of.bookmark,AS-OF clause pole (unasserted whose-now / placeholder now),bookmark holds the place without stamping; unasserted as-of is a now you are not claiming,relations.md#as-of
obomam,w,🔖,clause_pole,as-of.bookmark,AS-OF clause pole (unasserted whose-now / placeholder now),bookmark holds the place without stamping; unasserted as-of is a now you are not claiming,relations.md#as-of
obomar,h,🔖,clause_pole,as-of.bookmark,AS-OF clause pole (unasserted whose-now / placeholder now) resume,bookmark holds the place without stamping; -r resumes that bookmark without /b/,relations.md#as-of
obomar,g,🔖,clause_pole,as-of.bookmark,AS-OF clause pole (unasserted whose-now / placeholder now) resume,bookmark holds the place without stamping; -r resumes that bookmark without /b/,relations.md#as-of
obomar,w,🔖,clause_pole,as-of.bookmark,AS-OF clause pole (unasserted whose-now / placeholder now) resume,bookmark holds the place without stamping; -r resumes that bookmark without /b/,relations.md#as-of
egegam,th,⚙️,cause,CAUSE,CAUSE mood (mechanism framing),gear drives mechanism; mechanism frames how the link works,causation.md#cause
egegam,w,⚙️,cause,CAUSE,CAUSE mood (mechanism framing),gear drives mechanism; mechanism frames how the link works,causation.md#cause
an,v,,join_act,includes,join-act includes or adds object,set join a+n as verb; includes adds this object to the set,join-across-roles.md#join-act-verbs
an,g,,join_relation,including,join-relation including (adjective + argument),set join a+n on /g/; including frames host with argument,join-across-roles.md#join-relations
an,h,,join_relation,including,join-relation with or including (adverb + argument),set join a+n on /h/; with frames event alongside argument,join-across-roles.md#join-relations
on,v,,join_act,choose,join-act chooses sole object,set join o+n as verb; chooses this as the one pick,join-across-roles.md#join-act-verbs
on,g,,join_relation,exclusive-for,join-relation exclusive for (sole pick adjective),set join o+n on /g/; exclusive for names the only pick,join-across-roles.md#join-relations
on,h,,join_relation,exclusive-for,join-relation exclusively for (adverb),set join o+n on /h/; exclusively for as the one choice,join-across-roles.md#join-relations
aon,v,,join_act,picks,join-act picks with more picks open,set join ao+n as verb; picks one while more may follow,join-across-roles.md#join-act-verbs
aon,g,,join_relation,open-to,join-relation open to (adjective),set join ao+n on /g/; open to admits among options,join-across-roles.md#join-relations
aon,h,,join_relation,open-to,join-relation among options (adverb),set join ao+n on /h/; among options keeps picks open,join-across-roles.md#join-relations
un,v,,join_act,denies,join-act denies or refuses object,negation u+n as verb; denies refuses the object,join-across-roles.md#join-act-verbs
un,g,,join_relation,against,join-relation against or anti- (adjective),negation u+n on /g/; against refuses the argument,join-across-roles.md#join-relations
un,h,,join_relation,against,join-relation refusing (adverb),negation u+n on /h/; refusing blocks the argument,join-across-roles.md#join-relations
uan,v,,join_act,excludes,join-act excludes object,counteradditive ua+n as verb; excludes bars from the set,join-across-roles.md#join-act-verbs
uan,g,,join_relation,without,join-relation without or excluding (adjective),counteradditive ua+n on /g/; without excludes argument,join-across-roles.md#join-relations
uan,h,,join_relation,without,join-relation excluding (adverb),counteradditive ua+n on /h/; excluding leaves argument out,join-across-roles.md#join-relations
uon,v,,join_act,bars,join-act bars anything but object,counterchoice uo+n as verb; anything but leaves the rest open,join-across-roles.md#join-act-verbs
uon,g,,join_relation,anything-but,join-relation open to anything but (adjective),counterchoice uo+n on /g/; anything but bars only this,join-across-roles.md#join-relations
uon,h,,join_relation,anything-but,join-relation barring anything but (adverb),counterchoice uo+n on /h/; barring leaves rest free,join-across-roles.md#join-relations
en,v,,join_act,prioritizes,join-act prioritizes object,rank join e+n as verb; prioritizes puts this first,join-across-roles.md#join-act-verbs
en,g,,join_relation,prioritizing,join-relation prioritizing (adjective),rank join e+n on /g/; prioritizing heads by argument,join-across-roles.md#join-relations
en,h,,join_relation,prioritizing,join-relation prioritizing (adverb),rank join e+n on /h/; prioritizing puts argument first,join-across-roles.md#join-relations
aen,v,,join_act,equates,join-act equates or ties objects,equative ae+n as verb; equates ties candidates together,join-across-roles.md#join-act-verbs
aen,g,,join_relation,on-a-par,join-relation on a par with (adjective),equative ae+n on /g/; on a par equates with argument,join-across-roles.md#join-relations
aen,h,,join_relation,on-a-par,join-relation equating or tying (adverb),equative ae+n on /h/; equating ties to argument,join-across-roles.md#join-relations
oen,v,,join_act,starts-with,join-act starts with object,sequence oe+n as verb; starts with puts the object first in order,join-across-roles.md#join-act-verbs
oen,g,,join_relation,starting-with,join-relation starting with (adjective),sequence oe+n on /g/; starting with puts argument first in order,join-across-roles.md#join-relations
oen,h,,join_relation,starting-with,join-relation starting with (adverb),sequence oe+n on /h/; starting with puts argument first in order,join-across-roles.md#join-relations
uen,v,,join_act,deprioritizes,join-act deprioritizes object,counterrank ue+n as verb; deprioritizes puts this last,join-across-roles.md#join-act-verbs
uen,g,,join_relation,deprioritizing,join-relation deprioritizing (adjective),counterrank ue+n on /g/; deprioritizing trails argument,join-across-roles.md#join-relations
uen,h,,join_relation,deprioritizing,join-relation deprioritizing (adverb),counterrank ue+n on /h/; deprioritizing puts argument last,join-across-roles.md#join-relations
azanum,h,🥪,locative,between,locative between (two landmarks),sandwich sits in the layer between sides; between takes a join of two landmarks,relations.md#locative-relations
azanum,g,🥪,locative,between,locative between (two landmarks),sandwich sits in the layer between sides; between takes a join of two landmarks,relations.md#locative-relations
urorom,h,🪞,similative,like,similative like (manner resemblance),mirror shows a reflection; like is resembling the model in /b/,clause.md#unhosted-b
urorom,g,🪞,similative,like,similative like (type resemblance),mirror shows a reflection; like is a counterpart of the model in /b/,relations.md#beginner
